income,age,employment_type,credit_score,past_repayment_history,transaction_behaviour,cash_flow_volatility,rent_payment_on_time,utility_bills_on_time,loan_amount,interest_rate,tenure_years,loan_to_value_ratio,debt_to_income_ratio,loan_to_income_ratio,cross_loan_exposure,declared_value,market_value,price_trend,crime_index,natural_disaster_risk,unemployment_rate,overvaluation_detected,document_consistency_check,synthetic_identity_detected,anomaly_patterns,industry,industry_growth_rate,regional_unemployment,regional_inflation,recession_indicator,portfolio_concentration_risk
135725,51,self_employed,314,good,frugal,low,False,True,239448,10.23,23,0.79,0.31,2.03,3,335538,532059,rising,low,low,10.2,False,passed,True,multiple_ids_used,IT,-2.6,7.4,8.3,True,medium
118809,48,salaried,604,late_payments,moderate,high,False,True,802044,7.79,22,0.63,0.38,4.11,2,124982,903143,falling,low,low,3.6,True,failed,True,none,construction,-4.2,8.2,9.2,True,high
91372,29,freelancer,554,default,frugal,low,False,True,700493,10.19,17,0.66,0.28,4.1,1,298924,653249,falling,high,medium,3.1,False,failed,True,none,IT,0.6,4.7,2.3,True,high
138056,36,self_employed,426,late_payments,spending_heavy,medium,False,False,474328,11.43,30,0.94,0.27,5.19,1,778317,90262,falling,medium,high,13.2,True,failed,False,"multiple_ids_used,sudden_address_change",retail,1.1,9.5,6.7,False,medium
22030,24,contract,551,late_payments,spending_heavy,high,True,True,257901,11.74,21,0.85,0.13,2.32,1,765664,311371,falling,low,low,7.7,True,passed,False,sudden_address_change,healthcare,-1.4,4.1,3.4,True,medium
39195,65,freelancer,305,late_payments,spending_heavy,low,False,False,923232,6.45,23,0.75,0.77,2.89,1,946182,642544,rising,low,low,5.6,False,passed,False,"unusual_large_transaction,none",IT,0.5,11.4,2.9,False,low
73659,51,contract,346,late_payments,spending_heavy,low,False,True,486709,10.0,28,0.52,0.31,2.74,1,750031,567861,rising,medium,high,6.5,False,failed,False,unusual_large_transaction,manufacturing,3.4,6.9,7.6,False,medium
56418,40,contract,300,mixed,spending_heavy,high,True,True,631869,9.56,27,0.74,0.2,2.1,3,362223,901225,falling,low,medium,8.2,False,passed,True,multiple_ids_used,IT,5.2,2.7,6.1,False,high
56098,21,freelancer,446,good,moderate,low,True,False,166482,11.32,10,0.78,0.73,2.86,1,809893,542883,rising,medium,high,6.3,True,failed,False,sudden_address_change,retail,-4.3,9.8,1.1,True,high
122051,23,salaried,528,mixed,frugal,high,False,True,851601,5.73,5,0.89,0.63,2.91,0,272794,866398,rising,medium,medium,10.2,False,failed,True,"sudden_address_change,none",manufacturing,2.7,9.7,5.5,True,high
21680,59,freelancer,612,good,spending_heavy,medium,True,False,434465,11.83,30,0.7,0.64,3.64,2,292102,152353,rising,medium,medium,11.3,False,passed,False,none,healthcare,7.6,6.8,3.7,False,low
72337,25,salaried,709,good,frugal,high,False,False,823616,6.44,18,0.87,0.21,4.56,3,290806,310345,stable,high,low,9.2,False,failed,True,"unusual_large_transaction,none",healthcare,1.8,11.3,1.2,True,low
25230,32,contract,644,good,frugal,low,True,False,232544,8.54,12,0.68,0.13,4.24,0,111018,493769,rising,medium,low,3.2,True,passed,False,"sudden_address_change,none",manufacturing,-0.9,3.4,1.4,False,high
72253,51,salaried,479,late_payments,moderate,medium,True,False,136409,8.02,20,0.53,0.65,2.38,0,559140,239082,rising,high,low,5.1,True,failed,True,multiple_ids_used,healthcare,1.1,7.6,8.3,True,high
114085,29,contract,796,good,spending_heavy,medium,True,True,614182,10.25,28,0.83,0.72,2.54,2,555697,145436,falling,low,medium,4.4,False,failed,True,none,retail,-3.3,11.7,6.2,False,low
91966,60,self_employed,633,default,frugal,medium,False,True,776267,6.21,16,0.54,0.78,1.38,5,597041,406740,rising,medium,medium,9.3,True,passed,False,"multiple_ids_used,none",hospitality,0.8,5.5,7.4,False,medium
111835,23,self_employed,688,mixed,frugal,medium,False,True,501905,7.03,28,0.77,0.34,4.04,4,781986,371205,falling,medium,low,3.6,False,failed,True,"none,sudden_address_change",retail,6.2,10.7,4.1,False,high
21136,56,freelancer,821,late_payments,spending_heavy,medium,False,False,382510,7.26,25,0.86,0.77,4.78,4,507203,519360,rising,medium,low,9.6,True,failed,True,unusual_large_transaction,healthcare,-0.8,2.0,9.6,True,low
64609,61,contract,688,good,frugal,low,True,True,420242,8.29,23,0.52,0.7,2.22,0,780729,540263,stable,low,medium,5.4,True,failed,True,unusual_large_transaction,construction,3.5,3.0,6.1,True,high
58008,57,self_employed,638,default,spending_heavy,high,True,True,233818,11.07,11,0.59,0.32,1.26,3,952821,740990,stable,high,high,14.0,False,failed,True,sudden_address_change,IT,4.3,8.6,7.2,False,medium
53182,49,self_employed,593,good,moderate,low,False,False,364608,6.51,29,0.79,0.45,4.99,5,530555,224658,falling,medium,medium,11.1,False,passed,True,none,retail,7.2,6.0,2.7,True,medium
92106,43,self_employed,335,mixed,frugal,high,True,True,636880,8.18,28,0.71,0.73,1.05,5,708172,858046,rising,low,high,8.0,True,passed,False,"unusual_large_transaction,multiple_ids_used",healthcare,-5.0,2.5,2.0,True,medium
23519,40,freelancer,307,mixed,frugal,medium,False,False,206885,9.32,18,0.6,0.6,4.34,5,836666,695520,rising,high,medium,12.3,False,failed,False,none,manufacturing,6.9,8.7,7.3,True,medium
135794,26,self_employed,399,mixed,frugal,medium,False,False,563322,9.73,19,0.77,0.4,4.08,4,536390,337802,stable,medium,low,4.0,True,passed,True,"unusual_large_transaction,sudden_address_change",construction,0.6,3.7,4.6,True,low
53529,41,contract,848,mixed,spending_heavy,medium,True,True,156460,5.7,27,0.52,0.22,4.37,4,124392,260968,stable,high,medium,3.2,True,failed,False,"unusual_large_transaction,none",manufacturing,5.1,5.6,3.7,True,low
147006,50,self_employed,777,good,moderate,low,False,False,58886,7.43,12,0.66,0.32,2.9,5,826339,242724,stable,medium,medium,10.0,True,passed,True,"none,sudden_address_change",construction,5.4,8.5,3.3,True,high
87676,61,contract,772,late_payments,spending_heavy,low,False,True,955686,8.32,26,0.85,0.44,2.2,2,448734,329371,stable,low,low,13.1,True,failed,True,"unusual_large_transaction,sudden_address_change",retail,7.2,7.7,7.8,False,medium
57551,61,contract,303,good,spending_heavy,high,False,False,561840,6.19,24,0.65,0.39,5.44,5,167493,778003,stable,low,high,13.4,True,passed,False,multiple_ids_used,retail,5.9,6.2,6.4,True,low
26792,25,salaried,819,default,frugal,high,True,False,232013,7.5,27,0.58,0.47,4.41,5,605447,104518,rising,high,medium,4.1,True,passed,True,"sudden_address_change,unusual_large_transaction",construction,3.3,6.1,5.6,False,low
39744,62,self_employed,365,default,frugal,high,True,True,400745,8.91,10,0.89,0.38,3.06,5,781098,281998,stable,low,high,7.8,True,failed,False,"sudden_address_change,none",healthcare,0.9,3.2,4.8,False,medium
86725,34,self_employed,791,default,moderate,medium,True,True,61949,6.73,12,0.72,0.64,1.27,3,637148,820443,falling,high,low,7.5,True,failed,True,"none,unusual_large_transaction",construction,-0.0,8.4,2.9,True,low
76619,56,self_employed,499,default,frugal,medium,False,True,714849,6.47,6,0.75,0.55,1.85,4,364210,127679,stable,low,medium,12.5,True,failed,True,unusual_large_transaction,construction,-0.5,3.4,6.5,True,low
106085,42,self_employed,505,default,spending_heavy,low,False,True,479280,6.56,5,0.71,0.64,5.92,0,655552,770910,rising,high,medium,13.6,False,failed,True,sudden_address_change,healthcare,0.6,4.1,1.8,False,medium
143587,37,freelancer,357,late_payments,moderate,low,False,True,210118,10.13,12,0.55,0.66,2.49,1,262494,851342,stable,low,high,8.7,True,failed,True,"unusual_large_transaction,sudden_address_change",healthcare,-4.6,6.7,6.6,False,medium
140361,55,salaried,588,late_payments,frugal,high,True,False,704784,7.33,26,0.72,0.75,2.53,3,628274,217387,stable,high,high,7.7,True,failed,False,none,retail,-4.5,5.0,6.8,False,high
134909,55,contract,755,mixed,spending_heavy,medium,True,True,816204,6.57,7,0.69,0.79,5.68,4,856169,423946,rising,high,medium,12.9,False,passed,True,"multiple_ids_used,unusual_large_transaction",IT,6.7,8.6,1.1,False,high
140721,29,freelancer,607,default,spending_heavy,high,False,False,620058,6.69,29,0.87,0.47,2.41,1,363958,700801,falling,high,high,3.4,False,failed,True,multiple_ids_used,hospitality,-0.6,5.8,9.9,True,medium
113787,27,contract,627,mixed,frugal,low,False,False,730880,8.56,17,0.52,0.55,4.35,4,700865,246862,falling,high,medium,10.0,True,passed,True,none,construction,3.4,11.5,8.7,True,medium
146408,45,salaried,656,late_payments,moderate,medium,True,False,492939,5.55,13,0.78,0.22,2.15,5,534081,467875,stable,high,medium,8.4,False,failed,True,multiple_ids_used,construction,-0.4,7.4,5.5,False,high
79065,64,contract,571,default,frugal,low,False,False,373408,10.82,28,0.55,0.21,2.86,4,992998,943394,stable,medium,high,8.3,False,failed,True,unusual_large_transaction,healthcare,-0.9,8.6,6.5,False,low
92932,31,freelancer,756,mixed,moderate,low,True,True,356947,8.38,14,0.68,0.31,5.17,0,233935,436470,stable,high,medium,14.4,False,passed,True,"none,unusual_large_transaction",manufacturing,3.7,11.3,7.3,True,medium
37157,50,salaried,516,late_payments,spending_heavy,medium,False,False,954021,7.02,24,0.67,0.55,2.21,2,121604,270789,falling,medium,medium,11.8,True,passed,False,unusual_large_transaction,healthcare,-4.5,8.0,3.0,False,medium
75827,36,freelancer,604,mixed,spending_heavy,medium,True,True,694472,8.47,29,0.57,0.76,2.38,4,673519,621431,stable,medium,low,7.8,False,passed,True,"unusual_large_transaction,none",construction,2.7,4.7,2.1,False,medium
78227,46,contract,748,late_payments,moderate,low,True,True,588449,9.8,15,0.77,0.21,2.36,1,901860,203570,falling,medium,high,11.9,False,failed,False,"unusual_large_transaction,none",construction,3.3,4.6,2.9,True,high
106792,41,self_employed,462,late_payments,spending_heavy,low,False,True,919145,8.88,30,0.73,0.38,2.71,1,216959,108794,falling,medium,medium,10.0,True,failed,True,unusual_large_transaction,manufacturing,6.8,9.1,5.6,True,high
147762,27,contract,448,late_payments,frugal,low,False,False,658741,10.32,14,0.88,0.15,3.49,0,922358,754584,rising,medium,medium,12.2,True,passed,False,"none,unusual_large_transaction",IT,7.5,2.2,7.5,False,low
97566,26,freelancer,499,good,frugal,high,True,False,765034,10.73,29,0.51,0.53,3.3,1,306902,872582,falling,low,low,4.3,False,failed,False,none,construction,5.1,4.8,1.5,False,low
67919,27,contract,586,mixed,frugal,high,True,True,644079,11.21,17,0.86,0.69,2.54,4,602778,519786,falling,medium,medium,14.4,True,passed,False,"unusual_large_transaction,multiple_ids_used",retail,-1.5,7.2,9.8,False,low
76828,57,contract,801,default,frugal,low,True,True,803438,7.84,10,0.79,0.5,4.12,5,165197,127295,falling,high,low,12.3,True,failed,False,"multiple_ids_used,sudden_address_change",construction,-2.0,7.7,2.4,False,low
144606,64,freelancer,831,late_payments,spending_heavy,high,False,True,772732,5.68,19,0.56,0.76,1.5,2,129447,683156,rising,medium,high,6.8,True,passed,True,"multiple_ids_used,sudden_address_change",manufacturing,3.2,5.1,4.6,True,high
107820,35,salaried,649,late_payments,moderate,medium,True,False,352999,8.84,24,0.53,0.77,1.49,0,562712,393452,rising,medium,medium,11.7,False,failed,False,none,manufacturing,1.4,6.3,7.4,True,high
43664,56,freelancer,729,default,moderate,high,True,False,348348,6.76,14,0.61,0.76,1.36,5,431927,468594,rising,low,medium,11.3,False,failed,True,"unusual_large_transaction,none",healthcare,5.4,3.6,9.1,False,medium
85714,65,contract,519,default,spending_heavy,medium,False,True,818645,11.57,15,0.92,0.53,4.88,3,921213,836697,rising,high,medium,13.8,False,passed,False,sudden_address_change,retail,-0.9,12.0,1.1,False,low
138741,23,freelancer,682,good,frugal,low,False,False,751911,7.05,27,0.92,0.5,3.7,5,727196,240832,rising,low,low,7.2,False,passed,True,multiple_ids_used,hospitality,7.7,3.3,8.4,False,high
114914,61,freelancer,390,good,spending_heavy,high,False,False,911060,6.27,12,0.87,0.66,2.73,1,392131,808658,falling,low,medium,11.1,False,failed,False,unusual_large_transaction,construction,2.7,10.5,3.2,False,medium
140736,34,freelancer,677,default,frugal,medium,False,True,801256,9.98,28,0.64,0.39,3.05,5,554768,366568,stable,low,medium,3.3,True,failed,True,"sudden_address_change,multiple_ids_used",healthcare,6.9,9.8,6.6,True,low
101569,37,freelancer,842,default,frugal,high,False,True,714513,6.76,17,0.5,0.34,3.06,4,427854,790153,falling,high,medium,10.3,True,passed,False,"sudden_address_change,none",retail,7.4,9.9,4.4,False,low
149038,41,salaried,514,mixed,spending_heavy,medium,False,True,238922,8.49,11,0.51,0.15,4.82,0,262136,717182,rising,low,medium,8.5,False,failed,True,none,construction,-1.2,6.9,8.0,False,medium
65252,29,salaried,556,good,moderate,medium,True,True,84121,8.09,27,0.64,0.11,4.28,5,276369,542783,rising,low,high,5.5,True,passed,False,"unusual_large_transaction,multiple_ids_used",hospitality,0.5,3.2,7.7,True,low
124007,23,contract,790,late_payments,moderate,high,False,True,196123,8.14,5,0.81,0.4,3.26,5,808524,822478,falling,low,low,11.8,False,failed,False,"unusual_large_transaction,multiple_ids_used",healthcare,-4.4,11.5,6.6,True,medium
85173,53,contract,801,default,spending_heavy,medium,False,True,979679,6.75,7,0.7,0.66,5.58,3,616036,397012,falling,high,medium,8.0,True,failed,True,sudden_address_change,construction,3.8,11.9,3.1,False,medium
130323,27,freelancer,641,late_payments,spending_heavy,low,True,False,190484,11.57,27,0.76,0.2,5.07,3,198852,239860,stable,high,low,6.6,True,passed,False,unusual_large_transaction,hospitality,7.8,5.6,4.1,False,low
108333,38,contract,571,mixed,spending_heavy,high,True,True,334568,6.89,19,0.66,0.63,4.34,5,837096,499282,stable,low,low,10.2,True,failed,False,"unusual_large_transaction,sudden_address_change",IT,1.5,10.1,9.4,False,medium
36254,61,self_employed,671,mixed,spending_heavy,high,True,False,981188,11.88,14,0.95,0.26,5.13,2,831279,744225,stable,medium,low,14.5,False,passed,False,"sudden_address_change,unusual_large_transaction",hospitality,5.6,10.0,1.9,True,medium
47076,46,contract,795,late_payments,moderate,medium,False,True,131227,10.3,19,0.66,0.78,4.63,0,395380,219279,rising,low,high,9.6,True,passed,True,"sudden_address_change,unusual_large_transaction",retail,2.4,11.1,4.9,False,low
47052,58,self_employed,465,late_payments,frugal,medium,True,False,266379,6.35,26,0.92,0.13,1.83,0,895536,589053,falling,high,medium,3.9,True,failed,True,"sudden_address_change,none",construction,3.9,6.7,3.0,False,low
120346,38,salaried,720,good,frugal,medium,True,False,926199,9.85,11,0.8,0.52,5.95,3,290262,458927,falling,high,high,10.3,False,failed,False,"unusual_large_transaction,sudden_address_change",healthcare,-3.1,9.8,5.5,False,high
112846,44,salaried,321,good,spending_heavy,high,True,True,686243,8.24,16,0.69,0.71,1.08,2,228902,840644,stable,low,high,6.0,False,failed,True,multiple_ids_used,IT,5.4,11.3,6.3,False,medium
27656,56,self_employed,649,good,moderate,low,False,True,604819,6.95,13,0.81,0.39,4.03,2,488330,695864,rising,medium,high,7.9,False,passed,False,"none,unusual_large_transaction",construction,-0.5,2.2,5.8,False,low
108415,34,self_employed,455,mixed,moderate,low,False,True,798392,5.9,19,0.67,0.57,3.24,4,758821,185699,rising,medium,low,6.6,True,failed,False,"sudden_address_change,unusual_large_transaction",manufacturing,-2.0,11.7,4.7,False,low
26635,48,salaried,503,late_payments,frugal,medium,False,True,796178,10.36,27,0.73,0.8,4.63,2,975418,884793,rising,medium,low,11.6,True,passed,False,"unusual_large_transaction,none",healthcare,2.4,4.9,3.4,True,high
60243,61,self_employed,319,default,frugal,high,True,False,707730,9.46,16,0.86,0.57,5.06,3,751570,214867,rising,low,medium,8.7,True,passed,True,unusual_large_transaction,retail,6.0,2.2,8.1,False,medium
102721,51,self_employed,689,late_payments,frugal,medium,True,True,696679,5.96,23,0.89,0.77,1.96,3,452638,938645,falling,low,high,5.1,True,failed,False,none,retail,6.2,7.4,4.6,True,medium
75749,53,freelancer,594,mixed,frugal,medium,True,True,527396,8.27,5,0.87,0.57,2.08,4,137669,161586,stable,high,medium,10.9,True,failed,False,"sudden_address_change,multiple_ids_used",construction,-1.5,2.4,7.9,True,medium
115476,33,salaried,745,default,frugal,low,False,True,346324,11.14,29,0.63,0.1,3.8,5,798970,858883,falling,low,medium,12.1,True,failed,False,"sudden_address_change,multiple_ids_used",construction,4.6,5.4,1.2,True,medium
113460,40,freelancer,758,good,moderate,medium,True,False,980827,10.48,17,0.77,0.51,4.36,2,128699,833351,rising,low,low,8.6,False,passed,True,"unusual_large_transaction,sudden_address_change",manufacturing,-4.8,10.1,8.2,False,medium
126225,23,self_employed,581,default,moderate,medium,False,True,511107,10.62,19,0.83,0.27,2.19,4,395918,544482,falling,low,high,14.7,False,passed,False,"multiple_ids_used,sudden_address_change",IT,6.5,9.5,8.0,True,high
94608,36,freelancer,611,late_payments,moderate,high,False,False,627177,8.86,20,0.71,0.75,5.36,5,913665,270970,stable,medium,low,10.5,True,passed,False,none,manufacturing,2.4,5.4,2.7,False,low
50190,59,salaried,335,mixed,spending_heavy,high,False,False,289278,5.07,7,0.95,0.22,4.27,1,761192,721941,stable,low,medium,12.3,False,passed,True,"unusual_large_transaction,multiple_ids_used",hospitality,4.8,2.6,2.8,False,medium
87800,26,self_employed,539,good,moderate,low,False,False,240301,10.2,10,0.66,0.19,1.73,2,917527,137528,stable,high,medium,7.1,False,failed,True,multiple_ids_used,construction,0.2,5.9,9.0,False,medium
102085,56,self_employed,330,default,moderate,medium,False,True,547487,10.2,26,0.59,0.29,1.18,5,635567,562153,rising,medium,high,8.2,False,passed,True,none,manufacturing,1.9,3.0,8.0,True,high
147003,25,self_employed,750,mixed,frugal,high,True,True,318241,5.26,18,0.53,0.38,4.19,5,536424,124029,stable,high,low,9.6,True,failed,False,"none,sudden_address_change",healthcare,-2.1,8.1,8.9,False,medium
147252,53,contract,360,default,moderate,medium,False,False,793790,6.93,6,0.58,0.55,2.61,2,836573,737631,rising,high,medium,3.0,False,failed,False,sudden_address_change,hospitality,0.1,8.2,9.6,True,medium
28491,29,salaried,777,mixed,moderate,low,False,True,96175,8.32,11,0.86,0.25,3.58,1,123567,429285,falling,high,low,14.6,True,failed,True,none,retail,1.3,7.5,5.3,True,low
126454,40,freelancer,749,default,spending_heavy,high,True,False,346883,6.66,21,0.56,0.6,1.86,2,311456,804011,stable,low,low,9.9,False,passed,True,multiple_ids_used,IT,3.7,3.1,1.1,True,low
103092,47,salaried,587,good,frugal,low,True,False,798416,6.96,8,0.59,0.49,2.2,0,869106,456971,falling,high,high,8.8,True,passed,False,none,construction,3.3,8.3,2.1,True,low
48907,55,freelancer,510,mixed,frugal,high,True,True,775620,9.24,6,0.61,0.13,4.82,0,191319,223220,stable,high,high,5.7,True,failed,False,"multiple_ids_used,unusual_large_transaction",hospitality,3.9,10.9,2.4,False,medium
68931,60,salaried,459,default,spending_heavy,medium,True,False,774931,6.52,18,0.93,0.63,3.37,0,745522,774238,rising,low,medium,5.9,True,failed,True,"sudden_address_change,unusual_large_transaction",retail,7.8,2.8,5.9,False,high
39200,36,contract,597,default,moderate,high,False,True,791256,7.36,20,0.7,0.63,2.47,5,612355,303229,falling,low,medium,13.4,True,failed,False,"sudden_address_change,multiple_ids_used",manufacturing,2.9,10.8,10.0,False,low
76116,49,self_employed,675,late_payments,spending_heavy,high,False,True,464810,6.58,20,0.83,0.18,4.77,5,581887,384784,rising,low,low,12.0,False,failed,False,"unusual_large_transaction,multiple_ids_used",healthcare,0.9,8.9,6.4,False,low
94136,27,contract,844,good,moderate,low,False,True,717142,9.52,23,0.53,0.33,4.02,2,899775,614744,stable,high,low,9.6,False,passed,True,sudden_address_change,retail,3.3,4.1,7.1,False,high
106722,53,salaried,631,good,frugal,medium,True,False,379892,5.2,29,0.89,0.72,1.93,4,705482,862626,rising,medium,medium,3.7,False,failed,True,sudden_address_change,healthcare,0.1,8.7,2.0,True,medium
132012,46,self_employed,642,good,moderate,low,False,False,864158,5.75,22,0.76,0.37,5.29,0,618993,660608,stable,high,low,11.6,False,failed,True,sudden_address_change,healthcare,-4.7,4.8,7.8,True,medium
95732,57,freelancer,562,late_payments,frugal,medium,False,False,159819,10.3,24,0.59,0.21,1.12,3,565281,609887,falling,high,high,7.1,True,passed,False,unusual_large_transaction,retail,-3.2,11.9,7.7,False,high
91601,50,contract,388,mixed,moderate,low,False,True,346450,10.13,16,0.8,0.56,2.87,5,506383,299125,falling,high,medium,10.5,False,passed,False,"multiple_ids_used,sudden_address_change",healthcare,1.8,6.7,5.3,False,low
140803,30,salaried,798,late_payments,spending_heavy,medium,True,True,220350,8.56,20,0.9,0.58,4.57,2,905910,195920,stable,low,low,11.2,False,passed,True,"sudden_address_change,none",construction,-2.5,5.5,8.8,False,medium
65975,45,salaried,837,good,moderate,high,True,False,520998,10.16,28,0.61,0.75,5.0,0,920996,181748,falling,medium,low,4.6,False,failed,False,"none,multiple_ids_used",construction,-2.2,11.9,10.0,True,high
141242,58,salaried,711,default,moderate,medium,False,True,887354,8.31,18,0.94,0.15,5.49,2,866734,840216,falling,low,medium,6.2,False,failed,False,none,hospitality,-0.8,9.8,2.0,True,medium
117566,42,salaried,843,late_payments,moderate,high,True,True,335832,10.14,10,0.87,0.29,1.45,5,805555,155302,rising,medium,high,6.7,False,failed,True,none,hospitality,5.2,5.9,2.8,False,low
25868,30,freelancer,727,mixed,frugal,low,True,True,328532,9.91,14,0.58,0.17,1.76,0,378810,327619,falling,high,medium,9.1,True,failed,True,"multiple_ids_used,sudden_address_change",healthcare,7.8,4.5,6.4,False,low
61542,47,freelancer,655,default,spending_heavy,high,True,False,786307,10.24,9,0.62,0.11,2.74,5,726025,698480,stable,high,low,3.4,False,passed,True,"unusual_large_transaction,multiple_ids_used",hospitality,0.7,6.0,3.7,False,medium
114725,23,self_employed,447,default,spending_heavy,high,False,False,368968,7.35,6,0.78,0.64,4.98,0,456895,112520,stable,medium,low,6.2,True,failed,True,"unusual_large_transaction,multiple_ids_used",retail,7.3,11.0,2.0,False,medium
119640,59,salaried,475,good,frugal,low,True,True,161290,11.58,29,0.75,0.19,4.27,1,461341,890206,stable,medium,low,12.8,False,passed,False,none,healthcare,-4.0,5.0,7.2,True,low
92324,41,contract,669,mixed,moderate,high,True,False,345760,5.23,13,0.5,0.14,5.38,3,978094,761338,rising,medium,high,11.7,False,failed,False,"multiple_ids_used,sudden_address_change",hospitality,-2.8,7.4,5.9,True,high
142762,49,salaried,475,good,moderate,low,False,True,83903,10.02,7,0.93,0.14,1.71,2,402994,745582,rising,high,high,3.1,True,failed,True,none,construction,4.6,11.7,9.1,False,low
62903,37,salaried,768,good,moderate,low,True,True,537300,9.23,20,0.55,0.57,3.93,4,997083,931036,rising,low,medium,13.9,False,passed,True,"none,unusual_large_transaction",healthcare,3.7,7.4,9.7,True,high
114061,53,contract,666,mixed,frugal,low,False,False,311641,5.78,26,0.63,0.11,4.57,0,537265,841567,falling,low,high,12.0,False,passed,True,"none,multiple_ids_used",manufacturing,-3.8,5.6,9.4,True,medium
142530,24,freelancer,517,late_payments,spending_heavy,high,True,False,533623,10.29,13,0.88,0.29,3.9,0,327709,140234,stable,medium,high,7.1,True,passed,True,multiple_ids_used,healthcare,2.3,10.7,7.5,False,high
52583,23,self_employed,789,default,frugal,low,True,True,150942,9.48,15,0.56,0.79,3.92,0,491671,300338,stable,low,high,8.1,True,passed,False,"multiple_ids_used,sudden_address_change",construction,2.9,3.9,3.5,True,medium
43715,46,freelancer,719,default,frugal,high,True,True,267042,11.95,30,0.54,0.7,3.87,5,334601,906263,stable,medium,low,11.7,False,failed,True,unusual_large_transaction,construction,1.4,3.4,4.6,True,low
127327,63,salaried,780,good,spending_heavy,low,False,False,321191,5.45,22,0.57,0.34,4.33,0,522815,577488,falling,low,high,5.3,False,passed,True,"multiple_ids_used,sudden_address_change",IT,-2.1,10.8,7.4,True,medium
33917,54,self_employed,335,late_payments,moderate,high,False,True,889433,8.4,6,0.89,0.79,3.14,4,886321,179929,rising,low,low,14.2,False,passed,False,unusual_large_transaction,hospitality,5.3,9.8,4.3,False,medium
87008,47,contract,340,default,frugal,high,False,False,74074,10.03,23,0.75,0.42,3.31,1,455632,808574,rising,high,low,11.8,False,passed,True,"none,multiple_ids_used",healthcare,3.5,2.3,9.8,True,medium
87538,51,freelancer,439,default,frugal,high,True,True,752223,8.35,26,0.72,0.67,5.03,0,372950,861984,falling,high,low,12.5,False,failed,True,none,healthcare,1.0,3.0,6.7,False,high
35162,21,salaried,780,good,spending_heavy,high,True,True,173787,7.34,27,0.77,0.73,1.05,1,339064,278942,rising,high,low,12.3,False,passed,False,"none,sudden_address_change",retail,1.4,2.9,1.6,True,low
121612,40,contract,744,default,spending_heavy,medium,True,False,915064,10.45,6,0.84,0.4,3.82,1,259331,507483,stable,medium,low,10.1,True,passed,False,"multiple_ids_used,none",IT,-2.9,2.4,2.8,False,medium
67590,21,self_employed,415,good,moderate,high,False,False,717158,6.57,24,0.63,0.44,3.54,4,124700,318657,falling,medium,high,4.7,False,passed,True,"sudden_address_change,none",healthcare,7.9,6.7,7.8,True,medium
